Height,Width,Depth,Hazardous
2.683813178,5.341084351,6.923035298,0
1.300921572,4.951478841,4.137422689,0
1.983353659,1.289810998,5.881772474,0
2.514697905,4.319704401,7.631806377,0
4.355789949,7.644436634,5.01159665,1
2.381872396,2.682319415,4.450028795,1
6.035490864,5.746991915,4.480806708,0
1.055193171,7.394025289,1.655689543,0
3.628429752,1.319070683,7.710885536,1
4.600853958,1.954989919,2.394247589,1
1.01099388,1.702479631,4.729926797,0
5.071228018,3.867582305,1.946897559,0
2.105336457,7.789634916,2.684943449,0
3.513198141,3.547892558,2.288252958,0
5.519423149,6.074309895,5.623897212,1
6.430763538,5.918770832,1.72547515,1
4.945527891,1.173702201,2.961743061,0
2.63592379,7.621989783,1.030251608,0
1.629863614,4.734440563,2.578217101,1
1.599284454,5.874164162,6.237912621,1
3.136528586,1.316802519,1.199471687,1
5.671985603,7.416000003,6.21770483,1
1.001672276,1.229909547,5.347356519,0
2.459989699,6.441080686,3.807430684,0
7.531238891,4.68299243,3.398706148,1
7.47951324,2.862853186,2.642165602,0
6.138660107,4.534552555,6.347334463,1
3.331503884,4.727466792,2.458405959,0
4.605443309,1.608091656,2.573480885,0
6.207822524,7.409210008,5.584688647,1
5.33411468,4.948057837,4.47689448,1
5.383717412,1.414613683,5.127329088,0
2.520103888,5.70907986,4.029454287,1
2.515971177,5.391258744,5.643501828,0
3.722615201,1.50998794,5.369467748,0
7.597189844,4.063935379,4.513510378,0
7.738256096,5.490785222,3.086506789,0
6.178986955,6.66978641,6.124255648,1
6.13272134,3.742270804,6.906632677,1
4.75032903,6.413959642,5.667701593,1
1.015910763,7.113765876,4.532909454,0
5.262562168,5.328191815,5.981791119,1
6.857610916,3.504139288,7.829505168,0
6.260657939,7.525796768,5.830273914,0
4.169121008,6.213105073,7.968195073,1
4.750529957,1.444975941,7.662125073,0
4.761636867,1.757424554,6.330529241,0
1.009665905,6.731445241,2.019933242,0
3.489661677,6.551538566,2.226612537,1
5.284931631,1.399749254,7.539849909,0
6.802594914,7.353344324,4.358545951,1
3.497053995,6.051470295,3.583777377,0
3.874445881,7.318948963,3.277851174,1
5.014331293,4.749999856,4.318662664,0
5.127748125,3.43977535,7.51705267,0
6.037601046,6.833053644,4.726180109,1
3.764811317,6.532302938,7.415645249,1
7.434427504,4.719863422,3.288993642,1
7.737992055,6.451032808,3.129085698,0
2.634664679,1.408512626,1.037293285,0
6.0714832,4.206772984,4.377684662,1
7.325441676,1.156317282,3.640161755,1
5.224318593,6.179223781,1.963392838,0
5.420551092,5.940159599,4.615533409,0
7.561700948,1.03994669,6.623067714,0
6.953379255,4.295272541,1.28790559,0
5.058746293,5.173207941,5.993526093,0
6.749827467,2.987955147,5.961737324,0
1.796030264,1.386535034,7.268463076,0
6.351554311,3.645120032,2.926136332,0
5.3652942,4.711567166,1.943636056,0
2.039126247,2.756846486,7.48308756,0
1.561851266,7.608605448,5.501455425,0
4.248486859,4.062417896,5.231111287,1
6.45557713,5.907467653,3.120319369,0
6.134695717,2.230935244,2.50583632,0
6.720613111,2.693823759,6.738013794,0
2.191137369,1.16578228,4.966221168,1
7.613042279,3.301397341,7.331692406,0
3.05536689,3.891639979,5.211449697,1
2.043504367,1.76128189,2.405214436,0
6.035650139,6.964365821,6.733896748,1
3.268601667,1.06341957,5.594567363,1
6.45166649,7.788344702,4.063709019,1
3.761087013,6.632526846,1.964072494,0
5.750150075,4.507278031,1.147051006,1
6.430775299,7.539253974,5.95803838,0
2.315083308,4.274965559,1.678004388,0
1.203600732,4.576837571,1.589422093,0
1.949996579,6.825552577,2.369572259,0
5.761149247,2.124547184,7.897337055,1
7.543760676,4.649530675,5.655299078,1
4.853458591,4.034967224,7.917499657,1
5.212363648,3.322726591,3.715193563,0
2.378961417,4.136166256,6.697528048,0
4.746656274,1.288171522,2.886401371,0
2.256890175,2.703548355,4.342444875,0
4.163205461,1.722187591,2.393601283,1
3.219373462,3.541916635,6.22286633,0
1.813222693,5.604194228,4.927524109,0
2.302715097,3.9752776,2.510823677,0
6.108110677,1.505348167,2.380852474,0
3.883104498,5.80998834,1.403864949,0
3.898347772,6.969502196,3.417409275,0
4.362170903,7.07052287,5.354362704,1
3.992461259,1.623573016,2.215302387,0
1.955432521,1.091266793,1.041273996,1
6.772755845,3.962792491,1.577709283,0
5.146129698,7.812809154,2.330045229,1
6.560778843,4.493476614,6.811804736,1
6.38322698,7.962568231,3.782840003,1
7.426394921,4.464172753,1.656854065,1
7.038408439,1.861249209,7.228927915,0
3.218826665,4.922700331,4.703759739,0
2.814824032,2.675047688,6.781145116,0
6.195865164,6.076753694,2.994680702,1
6.231527818,6.502191766,6.447246762,1
7.425328238,4.148473199,2.014475131,1
6.552338464,4.283559434,2.589538176,0
1.933307328,3.813020167,5.216123319,0
3.014248265,7.316628584,7.246155638,0
2.362733007,4.945818868,5.518330798,1
6.488765679,5.836976735,4.028547636,0
1.902105132,3.325919659,7.279032165,0
1.903624985,1.664048744,7.618975723,0
1.505771779,7.56532677,5.392462255,0
1.371906384,5.697133447,1.581126194,0
4.723121055,1.104958641,4.114548817,0
1.786157692,1.791796379,3.531205567,0
6.202314038,6.934536003,7.967605694,1
6.119208341,4.127736093,4.495442449,1
7.195823809,3.813162725,2.804279771,0
4.619777389,4.025499415,6.071074866,1
6.963516895,5.645230897,2.105203636,0
4.099573878,2.276585276,3.208202341,0
2.105160703,6.86837132,3.073998784,0
4.096272472,7.421610825,5.756310018,0
7.774135671,6.588107443,4.192282116,0
4.392115506,4.521393972,1.135707654,0
2.767209076,2.781216479,6.081231437,0
2.817829861,5.67071805,3.289474156,1
4.794111586,7.587695624,5.628668173,1
5.549130863,7.865327205,3.485435889,0
3.354933926,1.366080917,4.205230702,0
1.426648224,3.676831649,5.094896487,0
4.159175951,6.643243107,2.370903448,0
6.871285234,4.835213893,2.812685036,1
5.02246134,3.131251651,7.091385638,0
3.473452642,3.816133786,1.834878465,0
4.831982548,1.193170505,6.741682758,1
7.249030157,6.94295581,5.005289111,0
4.429933994,1.217235919,2.64091453,0
2.201424792,5.566042821,5.018143109,1
4.801216958,5.177887734,6.277223193,1
7.730273871,3.188277267,1.720153118,0
3.195786754,7.908370702,5.715729969,1
6.743601837,6.802488573,1.792308258,0
3.149380803,5.254025511,6.96427804,0
2.298175068,1.966788451,3.792660628,0
1.338427437,7.096490136,4.91629945,0
2.719719031,5.039614201,4.398446543,1
3.457748455,6.594207995,1.888446931,0
2.113156672,1.197373443,6.869926991,0
3.128685978,2.794504183,6.522075497,0
1.122838273,6.297368394,5.644651131,0
7.975868755,6.809638134,2.631612753,1
6.630753189,4.665985741,7.676281966,0
1.606064212,5.465563132,5.906831103,0
7.089532888,4.41533924,5.095058921,1
4.882101044,5.072870186,7.670184216,1
3.949648953,1.702590159,7.382940267,0
1.473457734,6.89129778,1.545822104,0
4.930065696,3.817457123,1.472882033,0
1.49505326,6.408232297,7.585918503,0
2.479743572,7.660204953,2.171001245,0
4.847342894,2.858282873,7.383985317,0
4.373870139,6.805082488,2.178223182,0
2.116288982,5.575627656,3.089555373,0
2.047052965,6.58960557,1.269693014,0
4.494910163,2.303060183,3.80561127,0
7.583954146,6.282953024,5.289734145,1
3.339619286,6.151442579,2.724832077,1
2.319040307,6.26250024,1.161196752,0
2.888013248,3.328301391,2.98949924,0
4.715208547,1.40284037,6.690248785,1
1.1501516,5.720908133,6.032428697,0
6.591322152,1.290991212,4.707037206,0
1.772345701,5.504941223,2.290360707,0
4.778588001,3.097231549,5.701354901,0
4.998637282,3.754017564,3.971677242,1
5.332660829,7.464529836,4.93165798,1
6.003975854,5.754524556,4.099518666,1
1.863104051,6.022824157,7.531477128,0
3.177347331,6.019956347,4.230730216,0
7.620174138,2.597204413,5.402884338,0
4.500175647,3.86141758,5.003940651,0
1.946613494,4.99779774,5.788659828,0
7.084804744,7.156151042,7.613737761,1
2.435347285,5.162746188,1.23652398,0
7.475321237,7.42701602,3.281126626,0
7.207275188,3.459686084,6.632668172,0
1.954070777,2.777918853,2.493391104,0
6.497446095,5.998780827,3.762151384,1
4.173123899,2.529293419,6.501317917,0
1.950196936,4.103559575,1.153487709,0
7.196547258,5.873488774,5.537418004,1
3.356994781,5.714528995,5.024898997,0
3.234918806,2.263774221,5.152409838,0
3.826479703,6.122216235,5.150043751,0
4.353541149,3.285940878,6.059150966,0
3.575312742,3.466972139,6.26565122,0
4.259833973,6.522952283,1.552896775,1
1.34924507,3.551759485,6.104066561,0
2.311496981,2.982126543,6.993232568,0
7.878615896,2.824337161,5.986098155,0
3.297918487,1.188438434,5.725392178,1
2.196974734,5.594048874,7.835351063,1
4.417784262,6.227459321,6.80494065,1
1.130811882,5.418018555,7.630970127,0
3.376395586,1.381626696,2.923230873,0
1.207643629,4.690994052,5.018897536,0
7.070600641,1.614407324,1.229193719,0
6.121953198,2.892012704,4.106337096,0
3.206825578,1.008907697,3.197886413,0
3.705178082,5.945600436,2.593139267,0
3.327121934,6.579562501,2.275707291,0
1.628445798,1.940050131,6.830392064,0
6.299389218,5.193913354,7.908188662,1
5.22077948,3.514495822,2.327850529,0
2.017799808,5.746451917,3.377426796,0
1.227622384,3.561510496,4.226674033,1
4.386376991,6.606205962,3.902346949,0
4.111986695,7.909211928,6.921863185,1
1.42269913,4.382824925,6.992729069,0
3.292542154,1.55091039,4.161110776,0
7.149003331,1.941185396,6.127396146,0
7.514234204,7.260349184,5.731765499,1
3.745249199,5.994826082,6.24683285,0
2.111927424,7.119170691,7.714566808,0
3.239633207,7.326424096,7.970439772,0
3.148759342,4.341099711,7.862477595,0
1.754678781,1.467450099,4.961765765,1
7.855340124,6.039153324,7.412003882,1
4.478323997,2.903503188,7.801349593,0
1.651522703,3.286062439,7.7439937,0
2.482415607,3.695347389,5.201004121,0
7.513505224,3.314967181,2.372404867,0
3.077924847,1.690062202,1.505956714,0
5.572527742,5.068251434,3.85351337,1
7.307493345,6.293344584,1.090757358,0
7.935570553,4.619029053,7.925204576,0
4.012332549,2.921680571,6.194361686,0
3.756438456,4.112324425,6.630216998,0
1.993362268,7.269243949,2.111857837,1
2.958646874,7.44897803,6.72509292,0
4.953755558,4.649354953,4.617177499,1
7.545976538,6.361040917,7.26531395,1
3.508801016,6.367050654,7.735536295,0
6.894050266,6.86760789,6.357934368,1
6.056864501,7.585247831,5.450410683,1
6.255151925,3.959498152,7.673948378,1
7.467919165,5.233151223,3.70913197,0
1.016646748,2.54138476,2.743379759,1
2.123009405,7.014390973,1.189988181,0
3.794910659,7.493849406,3.459439179,0
5.727237041,5.08406952,2.481671866,0
4.362604114,5.611914556,3.199043072,0
4.736801465,1.457159298,2.977057034,0
3.218651101,2.711832947,3.059150551,1
6.703303131,4.562555201,6.271541573,1
3.045536649,4.604602181,3.946227672,0
3.863924639,6.345643409,5.799301351,0
1.636428154,2.8749606,7.651497294,0
6.590176466,5.814186372,4.538992888,0
3.518496748,4.904078804,2.326900764,1
1.283413037,4.016836239,5.000635676,0
1.287604379,7.026405309,5.713754492,1
7.681039669,1.781683696,3.706383374,0
3.613388714,3.214135297,7.766953856,0
6.644937673,6.186925113,4.584399587,1
7.370413063,4.826283922,1.258181162,1
4.08053349,2.257997169,5.249445869,0
5.034355521,5.771397534,6.716225513,1
1.515674566,1.737219709,5.713389187,0
2.152391761,3.020080234,2.095648136,0
6.179235431,6.06837876,7.763380883,1
4.329977089,1.317738107,7.468012782,0
5.798646673,1.761762418,1.931447843,0
7.6606046,3.923396056,6.520414372,0
4.482251413,5.17567994,7.509074853,0
4.293504386,2.380439401,5.515832278,0
12.63276911,12.21916702,13.95479604,0
5.567570844,6.773052844,4.21068597,1
2.957014491,1.644380954,1.427933882,1
16.54741176,12.98092184,9.921936029,1
5.507048756,7.166576586,3.73610348,1
5.07804905,4.05010087,2.31730194,0
5.311097182,2.93659082,2.851935857,0
7.475982061,1.399942147,2.404433385,0
3.730160267,7.194482842,2.227869057,0
3.015437795,2.035198075,7.273710066,0
1.635151753,3.221670385,1.43426732,0
3.254237328,5.764311889,3.87792462,0
6.307890788,2.978384399,3.174319411,0
1.730890507,3.973194788,4.014974514,1
5.971944968,4.412812529,3.321553969,0
7.765341685,2.68990935,2.667630177,0
2.410438583,3.521052334,3.611989743,0
1.759420581,1.484082983,4.434880654,0
1.387815251,3.524866617,1.137522749,1
6.808064606,7.880854093,1.206583211,1
5.068384296,2.330440542,5.694027727,0
4.290646627,7.103246687,6.771839183,1
3.55509884,1.788092074,6.405906564,0
2.960872391,2.358621954,6.367362015,0
5.198010985,6.11109607,6.495922725,1
6.72998729,2.891735308,7.424506037,0
1.684825963,2.470439637,6.456987345,0
7.745826683,5.077739772,3.944124934,0
2.181155104,1.590380768,5.056203799,0
1.602583841,4.303340947,6.583895202,1
7.02847487,3.140460015,7.502967915,0
4.673534214,7.234918103,1.793193293,1
5.597676127,2.481091492,2.332738595,0
2.60663561,4.647179463,6.398165614,0
6.04858222,1.099129896,1.769899206,0
4.435252765,4.687716154,5.385985784,1
7.756789147,3.698847886,5.425801297,0
7.348597363,1.010736941,7.066330286,0
4.858753695,4.96468433,5.692308731,1
1.529193697,4.134781452,6.926873929,0
1.158900079,5.311198863,2.593744259,0
4.592676695,1.351492659,1.932555563,1
5.415083061,5.569212931,4.602203257,0
3.93140137,3.261088182,5.778960717,0
7.154861616,2.109158335,5.387387304,0
1.755909511,2.483119984,7.804637946,0
7.861950875,3.606207859,5.535349313,0
2.854766419,5.715816056,3.048574841,0
1.589942663,2.096504634,6.66745348,0
3.70135023,3.826365898,6.427363653,0
1.87427079,2.838014671,6.772831104,1
5.070879552,3.447195375,4.898601885,0
2.681047257,1.792190124,1.053020019,0
6.05321522,3.053589107,4.255938922,0
2.021500835,1.924782783,7.706037451,0
2.069871392,4.207396369,6.353116048,0
2.814558692,6.149296827,5.730641709,0
6.44520382,1.376944097,6.854295278,0
3.985264098,3.748273499,2.989516642,0
1.420338353,6.890871685,3.17372435,0
1.803827759,3.785152272,1.927539908,0
4.379298281,4.194590789,5.171532754,1
7.854215087,7.707017628,6.720990268,1
6.680617508,6.431257951,6.413655462,1
4.80038972,4.337026847,5.400063302,1
1.506569609,7.891988107,1.747200726,0
4.265396723,3.069282443,7.016522333,0
3.379339522,2.269375905,7.493253287,1
5.829430236,6.40788314,4.331665138,1
4.599101604,7.095058867,2.24945551,0
4.604461109,3.191264656,3.826612396,0
4.818600478,7.399855109,7.816115253,1
4.13220131,7.405766435,7.912504464,0
1.587193883,6.652488838,4.742014878,0
7.510935842,3.469859023,1.146128735,0
1.115137304,5.729011662,2.973162019,0
3.898646796,2.882278254,5.564488343,0
2.588832654,7.704112266,7.495322413,0
13.26353218,13.41569522,17.11473306,0
4.380467126,3.260821857,4.797041905,0
5.5509007,5.40150362,5.686912549,1
7.449308449,2.69350647,7.688090632,0
3.53821265,7.501217702,5.981381389,0
6.98594493,5.149610364,3.379097662,0
3.106343061,3.526416952,3.73782587,0
4.259636976,5.258508021,3.106914407,0
1.999114654,5.22193835,7.147757009,0
6.654032955,7.167022498,3.896301793,0
5.660653423,5.413898794,1.049408876,0
1.433586859,7.061108154,1.571050832,0
4.016478978,7.457604418,2.471725424,0
3.77798557,4.981451539,5.694227958,1
5.87869726,6.226307489,4.168062914,1
5.615237554,3.743742061,3.99594697,0
3.851454968,1.99042043,4.953781361,0
3.148441543,7.615830836,1.32531872,0
2.785751415,2.700524943,5.604633914,0
5.707977073,1.155719757,5.92612753,0
7.260754035,2.594560167,6.170893798,1
6.920153094,2.655274353,4.882393095,0
3.750312998,4.894039102,1.459977352,1
1.55335378,5.638941599,5.007126629,0
6.798961399,4.488977076,4.521420709,0
1.510242774,1.809013164,4.184570634,0
1.803338743,5.504780556,5.899434102,0
5.479889891,5.390053316,3.856887786,0
3.243963401,2.788361583,7.353450387,0
2.321246683,2.650283294,2.620698003,1
3.756807488,3.473307186,4.183531591,0
7.034182112,3.150432835,6.537319523,0
3.435379846,6.395336968,7.61574413,0
1.010037289,2.598804783,6.443804881,0
7.378991176,4.222297841,3.724068785,0
7.662064143,6.866186003,6.992631298,1
4.436432881,2.795237715,4.360712462,1
4.245562007,4.222620655,2.026733921,0
5.175304328,6.839867473,4.945506597,1
7.342356701,3.311888522,2.119104218,0
2.211008253,4.537688582,3.153899459,0
6.501167537,6.401669932,6.530361643,0
2.630540692,2.257852856,6.340896393,0
5.039337463,7.949268418,6.885441334,1
6.886139233,7.694367816,1.624298927,1
1.925426438,4.620989335,3.256673751,0
7.271238327,1.849681097,4.484239919,0
4.150961388,4.941392779,2.303335225,0
7.258997765,1.262172845,3.060880246,0
2.739816264,7.678530189,5.355139538,1
1.585867055,1.084877768,3.045148282,0
1.340487523,5.036435891,1.763093567,1
7.858711069,6.19762189,7.126578337,1
4.389174188,2.320670723,5.846623687,0
6.917751238,3.079523042,6.975554273,0
3.914055232,4.128906567,7.677455385,0
4.4253978,3.740102846,7.614870266,1
2.283014723,5.599303678,1.139964588,0
6.314130275,5.297644264,3.771777787,0
3.136003118,6.101654034,2.851765657,0
2.15974773,3.243041728,4.59046645,0
1.229664001,2.009376583,6.329762371,0
1.955536457,1.377376999,1.422666851,0
2.23995488,7.685670387,7.531030578,0
4.636923153,1.179206583,3.442591371,0
6.677845496,7.445341974,3.882585254,0
1.807534088,3.566653214,7.728025343,0
7.253952506,5.888747829,4.717510397,1
5.027470168,4.985466429,3.369583602,0
2.02600676,2.988077956,5.415283137,0
7.319640575,1.079589431,1.852171361,0
2.771017286,3.949604135,7.282280672,0
2.054183202,5.300047442,4.616960356,0
6.379830119,1.033287604,6.666256693,1
2.610863318,5.645195061,7.255952952,0
3.137795296,1.809571903,3.657023718,0
4.629987285,7.316062061,1.401002706,0
3.342197667,1.706991528,3.420124828,0
2.081044778,4.957908203,3.798719894,1
2.864586981,2.760021711,5.245424536,0
3.455282317,5.0683713,5.760329771,1
5.049208652,7.667665937,2.448589501,1
6.660212567,6.090951621,7.832063868,1
15.18382772,11.48294408,8.843869095,1
6.837043363,4.44655083,2.883541559,0
1.889019422,5.704982447,3.116591916,1
5.546177661,4.277625592,7.54970255,1
5.832461603,3.070194155,5.243794725,0
1.224313771,4.823173004,3.327818173,0
7.443424049,6.145179342,4.917633026,0
4.349282209,6.401299406,2.058863804,0
2.865644049,6.700752592,4.201854418,0
6.995575014,3.331899772,1.898289932,0
2.604025344,7.238711962,1.431133726,0
6.543628113,3.16092378,3.887556081,0
5.527424022,5.891381501,4.826444368,1
3.970342835,2.354324396,4.437410031,0
12.46495787,18.63643319,16.03413205,1
1.024273928,2.183648068,3.61369356,0
4.717935683,2.192987013,7.851696603,0
4.670149812,5.396632834,6.975559924,1
2.492298882,6.139368749,1.055828517,1
6.01852456,7.573792693,5.026159601,1
7.729405033,6.378073476,2.076330067,0
4.627866197,2.164153435,4.205016937,0
2.221696156,2.962066079,5.409497236,0
4.937780944,3.97685994,2.913817922,0
6.314807188,6.861054489,1.741697714,0
5.668799363,2.060533081,1.68239494,0
2.574110463,5.660976449,7.754863818,0
3.420948337,6.726586058,1.175260884,0
3.238822319,5.715327959,7.276560327,1
7.334288783,3.628338492,5.091479594,1
2.394388661,7.190351808,5.637712866,0
5.766741116,4.997228937,4.570745298,1
1.962624311,4.28963437,2.730291788,0
1.748962808,5.452633443,7.397139817,1
13.49781911,18.03198899,16.85389695,1
7.415142686,2.02114318,5.301571504,1
2.939423051,3.844822962,4.745482666,0
7.200557141,4.208025511,6.511363837,1
6.410052547,4.907715067,6.352374414,1
6.565358653,3.867829631,4.61442637,1
2.439715152,7.986836839,3.12599879,0
1.337353261,6.251925391,2.446102639,0
1.271711518,2.319142694,4.096091153,0
2.992018909,1.7611957,5.297680886,0
3.441668827,6.206703996,5.562731947,0
6.162173278,1.805539956,5.430940992,0
2.761645069,7.984742387,6.049883208,0
4.622059022,6.446855087,2.44796413,0
6.316113059,3.857281279,3.711076645,0
5.452591696,2.947633108,4.41972585,0
2.427584798,7.696871105,3.169770324,0
7.951316975,2.781724035,7.841044219,0
1.002835304,1.840743424,6.756161678,0
2.445990175,4.814930592,1.905749626,0
5.438196634,5.714699067,4.299040216,1
1.121042777,3.620331147,7.506595739,0
1.187148299,2.029811406,2.018396183,0
5.254884165,7.783041976,3.871295547,1
4.993789469,1.484657561,1.574882419,0
2.720973436,5.216711757,7.51609814,1
7.436675605,2.364078448,6.728405979,0
5.705513412,4.949216974,2.397195454,0
5.518153075,2.033214964,5.386596935,0
2.457998183,6.768648145,4.315278097,1
4.36432415,3.306681361,5.435951096,0
7.905630083,4.332693154,5.355319069,0
7.951838934,2.328485064,7.222620442,1
4.155418256,4.636056442,4.186243981,1
6.003941503,4.465640608,7.365464204,1
3.215931288,1.991644579,6.214777777,1
6.835812924,6.27296546,6.306718141,0
4.037829071,1.076473803,4.036176623,1
7.971945807,2.245733679,1.245142025,1
6.640678493,1.795733706,7.2065099,1
4.403695172,4.756921238,3.378260928,0
4.771404007,4.817971357,4.973619017,1
3.387279358,1.14645121,1.263105087,0
1.364109231,2.055127138,6.289641537,1
4.211061792,4.894362665,7.119479109,1
4.487096133,6.281695092,1.825304447,0
2.979349577,5.62939373,2.725952349,0
6.435115577,6.360596161,2.786008056,0
3.126969333,1.99989424,1.057619619,0
4.608858274,5.102307791,7.034245156,0
4.345655412,5.950881937,3.877532208,0
6.381965572,3.940647771,5.861842021,1
2.14750199,7.936280234,3.233461502,0
4.092419049,1.602127122,4.12163284,0
4.663853688,4.843807271,6.652909097,1
4.33843432,3.650791438,4.196811871,0
4.672503014,3.714043706,3.374114278,0
5.79659773,3.27716535,6.423918872,1
3.462544155,7.975196221,7.831647134,0
6.877418997,6.224856671,3.880164434,0
7.453395841,6.458529718,5.741328729,1
1.74416735,7.332690463,4.709123698,0
2.445702427,5.667074963,1.899884528,0
4.406500383,5.842800328,1.349205757,0
3.266754167,7.622485978,1.260417451,1
4.301997475,1.907193261,7.733784379,0
5.102619515,7.653966274,3.429514802,0
2.567650088,7.668472277,6.447066138,0
6.138208041,1.614968738,2.551743022,0
2.053388693,6.906858346,6.581637312,0
5.882873568,6.299859324,3.463684075,0
2.848755334,5.119045439,1.198522162,0
3.985254456,3.135017887,5.509296539,1
6.049335013,1.09572532,4.441815792,0
4.32130195,3.26234679,2.862449888,0
3.370108726,2.189255536,3.389058594,0
2.684144972,2.531327547,1.482114973,1
2.513817745,4.308653114,1.590457219,0
2.694406833,1.056208487,7.631221041,0
4.954332711,6.437339643,6.365631757,1
5.987976622,6.539948688,7.712513051,1
1.756676186,1.833134114,7.239960365,1
4.633531115,2.355378156,7.942691233,0
6.965332412,7.995373576,3.030384152,0
6.002423595,7.322619804,6.473431319,1
3.197871794,1.037291393,3.865523878,1
1.810719997,6.066528098,3.637545681,0
5.025028473,3.847193748,7.695514465,0
6.819603454,1.160429104,4.539216882,0
4.642378305,3.783204057,1.34643785,0
5.8580772,2.242754574,1.927850556,0
4.499327926,2.774834564,6.401399803,1
3.479122791,7.395513321,6.73140672,0
7.753629113,3.624067472,3.637266952,0
7.455828779,3.098356026,1.303243025,1
2.432148946,6.397532183,4.178695619,1
7.684320529,1.10021667,1.671017757,0
7.117949827,2.336856091,2.894257944,0
5.88141382,7.99514254,7.538876618,1
4.588156494,1.130438677,7.045288964,0
4.365715608,6.025168551,7.993949131,1
2.412606462,4.761472631,1.908850677,0
1.70160548,3.740263917,4.817031146,0
4.308122122,4.494917963,6.824897592,1
3.185257537,7.929484648,7.778860971,0
6.406795136,4.463416214,7.44144769,0
7.307518009,7.836750755,2.099185767,0
3.346604989,6.235461085,1.352319275,1
6.767609725,5.791534311,6.826578611,1
2.540230019,4.463229015,1.909240475,0
6.362866169,1.381621088,3.685195458,0
12.02993522,13.57295599,13.1654378,1
3.964188764,3.424029384,1.407043793,0
6.869988518,1.155236971,2.186206308,0
3.011244113,5.359421801,3.674489746,1
4.295044905,1.907352973,2.712314135,0
6.465911733,2.258937509,3.918619573,0
1.579017861,5.454660794,3.29622696,0
3.761622852,2.181126528,1.896211192,1
1.669629851,3.534575919,3.556687562,0
1.933332652,2.546471534,5.173633122,0
2.547883246,6.793291155,6.314327382,0
2.918836787,1.02549918,4.77380207,0
3.093414748,2.102611147,2.912766959,0
3.623507408,7.560429865,7.551922492,0
4.440167448,6.358060907,4.749187951,1
7.150218364,6.751432274,7.09469519,0
6.241108801,2.762607657,6.387124398,0
7.686302162,1.822890063,5.895134919,0
3.323441491,1.929919064,1.432137575,0
6.769139575,3.935520169,6.353944623,1
1.928657684,3.561107572,2.716489125,1
1.872877977,2.013414077,1.823943344,1
6.096767982,4.638956151,6.635339819,1
4.8389458,6.220532642,7.880094532,1
17.23315617,13.74201663,15.4463912,1
1.860626904,3.587217334,1.6054001,1
7.135042893,2.557023003,1.0393472,0
6.896441709,7.278817794,4.077624358,1
1.323664695,1.744441476,2.368492357,1
5.9491283,6.87299711,1.406203507,0
4.743537386,6.917586633,6.549302373,1
7.618200638,1.188415646,3.187339566,0
